"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jun 08 08:13:17 GMT 2022","Wed Jun 08 08:13:17 GMT 2022","268","","TestRadioButton","","TestRadioButton","RadioButtonTest","RadioButtonTest()",""
"passed","Wed Jun 08 08:13:13 GMT 2022","Wed Jun 08 08:13:17 GMT 2022","3220","","PageBaseTest","","PageBaseTest","testSearch","testSearch()",""
